"CompType","CompInst","CAPEC","Confidentiality","Integrity","Availability","ApplicableDefenseProperties","ImplProperties","DAL"
"DeliveryPlanner","deliveryPlanner","CAPEC-26",null,"Integrity",null,"StaticCodeAnalysis;null;null","staticCodeAnalysis;null;null","7;null;null"
"DeliveryPlanner","deliveryPlanner","CAPEC-26","Confidentiality",null,null,"StaticCodeAnalysis;null;null","staticCodeAnalysis;null;null","7;null;null"
"DeliveryPlanner","deliveryPlanner","CAPEC-28",null,null,"Availability","InputValidation;null;null","inputValidation;null;null","7;null;null"
"DeliveryPlanner","deliveryPlanner","CAPEC-28",null,"Integrity",null,"InputValidation;null;null","inputValidation;null;null","7;null;null"
"DeliveryPlanner","deliveryPlanner","CAPEC-28","Confidentiality",null,null,"InputValidation;null;null","inputValidation;null;null","7;null;null"
"DeliveryPlanner","deliveryPlanner","CAPEC-438",null,"Integrity",null,"SupplyChainSecurity;null;null","supplyChainSecurity;null;null","7;null;null"
"DeliveryPlanner","deliveryPlanner","CAPEC-439",null,"Integrity",null,"SupplyChainSecurity;null;null","supplyChainSecurity;null;null","7;null;null"
"DeliveryPlanner","deliveryPlanner","CAPEC-549",null,null,"Availability","RemoteAttestation;MemoryProtection;SecureBoot","null;memoryProtection;secureBoot","null;7;7"
"DeliveryPlanner","deliveryPlanner","CAPEC-549",null,"Integrity",null,"RemoteAttestation;MemoryProtection;SecureBoot","null;memoryProtection;secureBoot","null;7;7"
"DeliveryPlanner","deliveryPlanner","CAPEC-549","Confidentiality",null,null,"RemoteAttestation;MemoryProtection;SecureBoot","null;memoryProtection;secureBoot","null;7;7"
"DeliveryPlanner","deliveryPlanner","CAPEC-586",null,null,"Availability","Logging;InputValidation;null","null;inputValidation;null","null;7;null"
"DeliveryPlanner","deliveryPlanner","CAPEC-586",null,"Integrity",null,"Logging;InputValidation;null","null;inputValidation;null","null;7;null"
"DeliveryPlanner","deliveryPlanner","CAPEC-594",null,null,"Availability","Logging;InputValidation;null","null;inputValidation;null","null;7;null"
"DeliveryPlanner","deliveryPlanner","CAPEC-594",null,"Integrity",null,"Logging;InputValidation;null","null;inputValidation;null","null;7;null"
"DeliveryPlanner","deliveryPlanner","CAPEC-607",null,null,"Availability","FailSafe;AntiJamming;null","null;antiJamming;null","null;7;null"
"DeliveryPlanner","deliveryPlanner","CAPEC-624",null,"Integrity",null,"PhysicalAccessControl;null;null","physicalAccessControl;null;null","7;null;null"
"DeliveryPlanner","deliveryPlanner","CAPEC-624","Confidentiality",null,null,"PhysicalAccessControl;null;null","physicalAccessControl;null;null","7;null;null"
"DeliveryPlanner","deliveryPlanner","CAPEC-74",null,"Integrity",null,"StaticCodeAnalysis;InputValidation;null","staticCodeAnalysis;inputValidation;null","7;7;null"
"DeliveryPlanner","deliveryPlanner","CAPEC-74","Confidentiality",null,null,"StaticCodeAnalysis;InputValidation;null","staticCodeAnalysis;inputValidation;null","7;7;null"
"FlightControl","fc","CAPEC-184",null,"Integrity",null,"RemoteAttestation;MemoryProtection;SecureBoot","null;memoryProtection;secureBoot","null;7;7"
"FlightControl","fc","CAPEC-188","Confidentiality",null,null,"PhysicalAccessControl;null;null","physicalAccessControl;null;null","7;null;null"
"FlightControl","fc","CAPEC-188","Confidentiality",null,null,"TamperProtection;null;null","null;null;null","null;null;null"
"FlightControl","fc","CAPEC-549",null,null,"Availability","RemoteAttestation;MemoryProtection;SecureBoot","null;memoryProtection;secureBoot","null;7;7"
"FlightControl","fc","CAPEC-549",null,"Integrity",null,"RemoteAttestation;MemoryProtection;SecureBoot","null;memoryProtection;secureBoot","null;7;7"
"FlightControl","fc","CAPEC-624",null,"Integrity",null,"PhysicalAccessControl;null;null","physicalAccessControl;null;null","7;null;null"
"FlightControl","fc","CAPEC-624","Confidentiality",null,null,"PhysicalAccessControl;null;null","physicalAccessControl;null;null","7;null;null"
"GPS","gps","CAPEC-184",null,"Integrity",null,"RemoteAttestation;MemoryProtection;SecureBoot","null;memoryProtection;secureBoot","null;7;7"
"GPS","gps","CAPEC-390",null,null,"Availability","SystemAccessControl;null;null","systemAccessControl;null;null","7;null;null"
"GPS","gps","CAPEC-390",null,"Integrity",null,"SystemAccessControl;null;null","systemAccessControl;null;null","7;null;null"
"GPS","gps","CAPEC-438",null,"Integrity",null,"SupplyChainSecurity;null;null","supplyChainSecurity;null;null","7;null;null"
"GPS","gps","CAPEC-439",null,"Integrity",null,"SupplyChainSecurity;null;null","supplyChainSecurity;null;null","7;null;null"
"GPS","gps","CAPEC-440",null,"Integrity",null,"PhysicalAccessControl;null;null","physicalAccessControl;null;null","7;null;null"
"GPS","gps","CAPEC-440",null,"Integrity",null,"TamperProtection;null;null","null;null;null","null;null;null"
"GPS","gps","CAPEC-507",null,null,"Availability","PhysicalAccessControl;null;null","physicalAccessControl;null;null","7;null;null"
"GPS","gps","CAPEC-507",null,"Integrity",null,"PhysicalAccessControl;null;null","physicalAccessControl;null;null","7;null;null"
"GPS","gps","CAPEC-624",null,"Integrity",null,"PhysicalAccessControl;null;null","physicalAccessControl;null;null","7;null;null"
"IMU","imu","CAPEC-184",null,"Integrity",null,"RemoteAttestation;MemoryProtection;SecureBoot","null;memoryProtection;secureBoot","null;7;7"
"IMU","imu","CAPEC-390",null,null,"Availability","SystemAccessControl;null;null","systemAccessControl;null;null","7;null;null"
"IMU","imu","CAPEC-390",null,"Integrity",null,"SystemAccessControl;null;null","systemAccessControl;null;null","7;null;null"
"IMU","imu","CAPEC-438",null,"Integrity",null,"SupplyChainSecurity;null;null","supplyChainSecurity;null;null","7;null;null"
"IMU","imu","CAPEC-439",null,"Integrity",null,"SupplyChainSecurity;null;null","supplyChainSecurity;null;null","7;null;null"
"IMU","imu","CAPEC-440",null,"Integrity",null,"PhysicalAccessControl;null;null","physicalAccessControl;null;null","7;null;null"
"IMU","imu","CAPEC-440",null,"Integrity",null,"TamperProtection;null;null","null;null;null","null;null;null"
"IMU","imu","CAPEC-507",null,null,"Availability","PhysicalAccessControl;null;null","physicalAccessControl;null;null","7;null;null"
"IMU","imu","CAPEC-507",null,"Integrity",null,"PhysicalAccessControl;null;null","physicalAccessControl;null;null","7;null;null"
"IMU","imu","CAPEC-624",null,"Integrity",null,"PhysicalAccessControl;null;null","physicalAccessControl;null;null","7;null;null"
"Navigation","navigation","CAPEC-123",null,null,"Availability","StaticCodeAnalysis;null;null","null;null;null","null;null;null"
"Navigation","navigation","CAPEC-123",null,"Integrity",null,"StaticCodeAnalysis;null;null","null;null;null","null;null;null"
"Navigation","navigation","CAPEC-125",null,null,"Availability","DosProtection;null;null","null;null;null","null;null;null"
"Navigation","navigation","CAPEC-130",null,null,"Availability","ResourceAvailability;null;null","null;null;null","null;null;null"
"Navigation","navigation","CAPEC-131",null,null,"Availability","ResourceAvailability;null;null","null;null;null","null;null;null"
"Navigation","navigation","CAPEC-137",null,"Integrity",null,"DeviceAuthentication;null;null","null;null;null","null;null;null"
"Navigation","navigation","CAPEC-137",null,"Integrity",null,"Logging;InputValidation;null","null;null;null","null;null;null"
"Navigation","navigation","CAPEC-148",null,"Integrity",null,"DeviceAuthentication;null;null","null;null;null","null;null;null"
"Navigation","navigation","CAPEC-148",null,"Integrity",null,"Heterogeneity;null;null","null;null;null","null;null;null"
"Navigation","navigation","CAPEC-148",null,"Integrity",null,"PhysicalAccessControl;null;null","physicalAccessControl;null;null","7;null;null"
"Navigation","navigation","CAPEC-151",null,"Integrity",null,"DeviceAuthentication;null;null","null;null;null","null;null;null"
"Navigation","navigation","CAPEC-151",null,"Integrity",null,"Heterogeneity;null;null","null;null;null","null;null;null"
"Navigation","navigation","CAPEC-175",null,"Integrity",null,"DeviceAuthentication;null;null","null;null;null","null;null;null"
"Navigation","navigation","CAPEC-175",null,"Integrity",null,"Logging;InputValidation;null","null;null;null","null;null;null"
"Navigation","navigation","CAPEC-184",null,"Integrity",null,"RemoteAttestation;MemoryProtection;SecureBoot","null;memoryProtection;secureBoot","null;7;7"
"Navigation","navigation","CAPEC-188","Confidentiality",null,null,"PhysicalAccessControl;null;null","physicalAccessControl;null;null","7;null;null"
"Navigation","navigation","CAPEC-188","Confidentiality",null,null,"TamperProtection;null;null","null;null;null","null;null;null"
"Navigation","navigation","CAPEC-22",null,null,"Availability","DeviceAuthentication;null;null","null;null;null","null;null;null"
"Navigation","navigation","CAPEC-22",null,"Integrity",null,"DeviceAuthentication;null;null","null;null;null","null;null;null"
"Navigation","navigation","CAPEC-242",null,null,"Availability","DeviceAuthentication;null;null","null;null;null","null;null;null"
"Navigation","navigation","CAPEC-242",null,null,"Availability","Logging;InputValidation;null","null;null;null","null;null;null"
